282.1189 45.1198 283.1730 44.1797 282.0234 44.3086 280.9000 44.4110 281.9606 43.4812
284.2032 43.2200 283.1835 44.1701 283.0969 43.3389 282.9992 42.5324 281.9712 43.4718
281.7181 41.7707 280.6839 42.6982 281.8061 42.5824 282.8943 42.4710 281.8662 43.4098
279.6081 43.6256 280.6733 42.7075 280.7260 43.5402 280.7950 44.3484 281.8556 43.4192
284.5551 42.8747 285.5315 41.9123 284.4292 42.0659 283.3511 42.1934 284.3350 41.2404
286.4874 40.9316 285.5412 41.9025 285.4252 41.0735 285.3000 40.2695 284.3448 41.2307
284.0387 39.5371 283.0756 40.4871 284.1549 40.3465 285.2015 40.2119 284.2454 41.1723
282.0755 41.4387 283.0658 40.4967 283.1506 41.3278 283.2509 42.1341 284.2356 41.1819
286.8221 40.5848 287.7315 39.6036 286.6723 39.7786 285.6355 39.9278 286.5529 38.9552
288.6236 38.6052 287.7405 39.5937 287.6012 38.7671 287.4541 37.9656 286.5620 38.9453
286.2050 37.2587 285.3056 38.2284 286.3450 38.0651 287.3531 37.9094 286.4612 38.8887
284.3733 39.2012 285.2964 38.2382 285.4084 39.0671 285.5351 39.8709 286.4521 38.8986
284.9869 47.2886 283.5914 46.5553 283.7929 47.3774 283.9772 48.1775 282.5713 47.4319
282.2194 45.7983 283.5775 46.5478 282.3678 46.6059 281.1915 46.6619 282.5573 47.4243
280.0365 47.5899 281.4089 48.3661 281.2409 47.5401 281.0998 46.7362 282.4664 47.4996
282.8385 49.1326 281.4230 48.3739 282.6753 48.3255 283.8874 48.2539 282.4804 47.5073
285.3535 46.8751 286.3890 45.9076 285.2114 46.0669 284.0586 46.1984 285.1038 45.2418
287.3980 44.9207 286.3992 45.8977 286.2661 45.0694 286.1242 44.2661 285.1142 45.2321
284.7724 43.5398 283.7539 44.4937 284.9032 44.3485 286.0169 44.2081 285.0073 45.1738
282.6915 45.4481 283.7434 44.5033 283.8395 45.3341 283.9524 46.1399 284.9970 45.1835
287.7499 44.5586 288.7028 43.5700 287.5789 43.7537 286.4777 43.9101 287.4411 42.9313
289.6335 42.5633 288.7123 43.5600 288.5513 42.7348 288.3834 41.9347 287.4506 42.9214
287.0528 41.2374 286.1103 42.2128 287.2106 42.0429 288.2769 41.8795 287.3440 42.8656
285.1291 43.1902 286.1006 42.2226 286.2279 43.0508 286.3710 43.8537 287.3344 42.8755
287.3773 40.8247 288.6907 41.5094 288.4391 40.6977 288.2154 39.9062 289.5202 40.5814
290.0459 42.1851 288.7041 41.5163 289.8037 41.3912 290.8648 41.2481 289.5335 40.5881
291.7279 40.2262 290.4102 39.5748 290.6803 40.3823 290.9337 41.1689 289.6043 40.5086
289.1038 38.9027 290.3970 39.5682 289.3279 39.6981 288.2880 39.8265 289.5910 40.5019
289.4794 38.4756 290.7698 39.1354 290.5013 38.3285 290.2605 37.5414 291.5422 38.1925
292.0982 39.7865 290.7830 39.1419 291.8404 38.9971 292.8602 38.8357 291.5553 38.1990
293.6649 37.7991 292.3723 37.1711 292.6573 37.9735 292.9255 38.7554 291.6215 38.1194
291.0881 36.5233 292.3594 37.1647 291.3293 37.3143 290.3274 37.4626 291.6085 38.1129
288.4426 48.9568 286.9550 48.2647 287.2155 49.0803 287.4590 49.8743 285.9568 49.1696
285.4928 47.5472 286.9402 48.2576 285.6948 48.3500 284.4828 48.4385 285.9419 49.1624
283.3448 49.3977 284.8146 50.1361 284.5885 49.3155 284.3935 48.5160 285.8535 49.2411
286.3459 50.8621 284.8297 50.1435 286.1228 50.0604 287.3718 49.9543 285.8684 49.2484
290.8017 46.5819 289.3501 45.9195 289.6352 46.7295 289.9034 47.5183 288.4368 46.8445
287.9187 45.2327 289.3356 45.9127 288.1484 46.0308 286.9927 46.1454 288.4222 46.8376
285.9531 47.1271 287.3948 47.8321 287.1375 47.0169 286.9118 46.2223 288.3425 46.9152
288.8913 48.5249 287.4095 47.8392 288.6391 47.7283 289.8252 47.5966 288.3571 46.9221
292.9659 44.1606 291.5510 43.5243 291.8539 44.3288 292.1401 45.1124 290.7104 44.4660
290.1518 42.8648 291.5369 43.5178 290.4025 43.6581 289.2983 43.7953 290.6961 44.4594
288.3421 44.7983 289.7522 45.4741 289.4724 44.6643 289.2239 43.8744 290.6228 44.5393
291.2114 46.1380 289.7667 45.4808 290.9386 45.3466 292.0682 45.1932 290.6371 44.5460
290.5414 42.4285 291.9220 43.0756 291.6225 42.2716 291.3539 41.4869 292.7232 42.1242
293.3466 43.7115 291.9362 43.0821 293.0557 42.9253 294.1342 42.7511 292.7371 42.1306
294.9625 41.7018 293.5820 41.0903 293.8999 41.8892 294.2010 42.6677 292.8059 42.0472
292.2132 40.4570 293.5682 41.0841 292.4817 41.2453 291.4244 41.4037 292.7919 42.0409
292.5751 40.0098 293.9235 40.6340 293.6120 39.8350 293.3308 39.0550 294.6682 39.6703
295.3114 41.2476 293.9372 40.6402 295.0101 40.4660 296.0432 40.2759 294.6818 39.6764
296.8142 39.2145 295.4674 38.6241 295.7952 39.4179 296.1060 40.1916 294.7455 39.5931
294.1293 38.0129 295.4539 38.6181 294.4105 38.7967 293.3952 38.9728 294.7319 39.5870
292.1304 50.5180 290.5455 49.8725 290.8733 50.6792 291.1843 51.4649 289.5795 50.8065
288.9871 49.1996 290.5297 49.8658 289.2506 49.9956 288.0045 50.1198 289.5636 50.7997
286.8945 51.1077 288.4698 51.8026 288.1759 50.9894 287.9181 50.1965 289.4786 50.8776
290.1109 52.4819 288.4860 51.8095 289.8180 51.6879 291.1011 51.5439 289.4946 50.8844
294.3955 48.0762 292.8594 47.4597 293.2064 48.2600 293.5368 49.0397 291.9810 48.4117
291.3439 46.8171 292.8440 47.4533 291.6308 47.6075 290.4487 47.7566 291.9655 48.4052
289.4397 48.7675 290.9731 49.4298 290.6537 48.6229 290.3701 47.8356 291.8882 48.4855
292.5643 50.0771 290.9888 49.4364 292.2486 49.2889 293.4610 49.1211 291.9037 48.4919
